DPTO_CCDGO,MPIO_CCDGO,CPOB_CNMBR,CPOB_NANO,CPOB_CSMBL,latitude,longitude,DPNP,DPNP_Dbl,Desplazado,Refugiados,IDPs,TotalImpct,Pop1985,Pop2015
5,591,PUERTO TRIUNFO,2011,5,5.884583117,-74.63878227,5591,5591,1847,5213,59,7119,8709,20062
68,575,PUERTO WILCHES,2012,5,7.349374002,-73.89812861,68575,68575,7724,3807,916,12447,23058,31511
25,580,PULÍ,2011,5,4.681879704,-74.71422328,25580,25580,1410,122,46,1578,4861,2999
47,960,PUNTA DE PIEDRAS,2011,5,10.16935704,-74.71712026,47960,47960,2554,465,282,3301,0,8801
52,585,PUPIALES,2011,5,0.870991054,-77.63960362,52585,52585,125,505,0,630,14749,19388
73,585,PURIFICACIÓN,2011,5,3.858253753,-74.93085835,73585,73585,2404,857,210,3471,26064,29284
23,586,PURÍSIMA DE LA CONCEPCIÓN,2011,5,9.238103418,-75.72262112,23586,23586,354,864,12,1230,11873,15073
25,592,QUEBRADANEGRA,2011,5,5.118234028,-74.47991574,25592,25592,594,71,267,932,6084,4738
25,594,QUETAME,2011,5,4.329845695,-73.86293527,25594,25594,181,72,6,259,6381,7141
63,594,QUIMBAYA,2011,5,4.624556406,-75.76359431,63594,63594,566,3708,22,4296,30531,34948
66,594,QUINCHÍA,2011,5,5.340974519,-75.73064416,66594,66594,9975,1045,1894,12914,31031,33757
15,580,QUÍPAMA,2011,5,5.52298511,-74.18123629,15580,15580,364,88,5,457,10981,7874
25,596,QUIPILE,2011,5,4.74473436,-74.53345106,25596,25596,1785,215,38,2038,10314,8164
54,599,RAGONVALIA,2011,5,7.577462278,-72.47601923,54599,54599,171,122,8,301,6193,6891
15,599,RAMIRIQUÍ,2011,5,5.401177771,-73.33546555,15599,15599,116,122,12,250,9869,10015
15,600,RÁQUIRA,2011,5,5.538737936,-73.63228856,15600,15600,4,33,0,37,7119,13588
85,279,RECETOR,2011,5,5.229148277,-72.76090722,85279,85279,1742,225,830,2797,2168,4070
13,580,REGIDOR,2011,5,8.665499602,-73.82315137,13580,13580,1729,872,1083,3684,0,10489
5,604,REMEDIOS,2011,5,7.028793587,-74.6904628,5604,5604,8203,1428,2081,11712,18025,29199
47,605,REMOLINO,2011,5,10.70184738,-74.71654494,47605,47605,12096,875,4407,17378,12256,8150
8,606,REPELÓN,2006,5,10.49430706,-75.12459136,8606,8606,831,330,251,1412,19603,26099
50,606,RESTREPO,2011,5,4.261279015,-73.56351652,50606,50606,776,2115,257,3148,9225,10599
76,606,RESTREPO,2011,5,3.825400208,-76.52086994,76606,76606,846,1630,436,2912,12789,16232
5,607,RETIRO,2011,5,6.063242582,-75.50201058,5607,5607,384,1787,269,2440,11384,19108
52,612,RICAURTE,2011,5,1.211227702,-77.99399223,52612,52612,3590,2104,7072,12766,8975,18666
25,612,RICAURTE,2006,5,4.281993346,-74.77275473,25612,25612,49,303,0,352,6078,9441
70,204,RICAURTE (COLOSO),2011,5,9.4909973,-75.35608775,70204,70204,20188,706,4215,25109,9153,5838
20,614,RÍO DE ORO,2011,5,8.292019632,-73.38657859,20614,20614,1345,1024,434,2803,13207,14041
13,600,RÍO VIEJO,2011,5,8.589184726,-73.83767446,13600,13600,9758,868,2644,13270,22963,18076
73,616,RIOBLANCO,2011,5,3.530213777,-75.64468414,73616,73616,24074,494,3726,28294,27154,24553
76,616,RIOFRÍO,2011,5,4.15693949,-76.28860021,76616,76616,3154,2577,762,6493,17093,14725
44,1,RIOHACHA,2011,5,11.52912543,-72.91227125,44001,44001,12215,39130,24906,76251,85656,259492
5,615,RIONEGRO,2012,5,6.146220061,-75.37625576,5615,5615,1529,14588,286,16403,69872,120249
68,615,RIONEGRO,2011,5,7.263213644,-73.14904429,68615,68615,7053,1827,478,9358,29899,27114
17,614,RIOSUCIO,2011,5,5.423953475,-75.70231885,17614,17614,6320,1284,2868,10472,44678,61535
27,615,RIOSUCIO,2011,5,7.433382754,-77.11110984,27615,27615,74710,1387,20369,96466,28226,28832
17,616,RISARALDA,2011,5,5.163452975,-75.7679946,17616,17616,781,755,16,1552,21004,9583
41,615,RIVERA,2011,5,2.777896833,-75.25485877,41615,41615,1412,2191,84,3687,12073,18796
20,621,ROBLES,2011,5,10.38646779,-73.17269131,20621,20621,9099,5326,4088,18513,19874,22815
76,622,ROLDANILLO,2011,5,4.413548394,-76.15103159,76622,76622,2085,1402,345,3832,31857,32781
73,622,RONCESVALLES,2011,5,4.011227519,-75.60613905,73622,73622,3303,123,75,3501,7792,6331
15,621,RONDÓN,2011,5,5.357036039,-73.20859521,15621,15621,50,46,0,96,3865,2822
19,622,ROSAS,2011,5,2.261720052,-76.73887997,19622,19622,2854,1351,318,4523,10132,13302
73,624,ROVIRA,2011,5,4.239483306,-75.24068313,73624,73624,11041,1649,1191,13881,25060,20641
68,655,SABANA DE TORRES,2012,5,7.392779673,-73.49789995,68655,68655,7995,2490,891,11376,21403,18652
8,634,SABANAGRANDE,2011,5,10.79076785,-74.7568487,8634,8634,407,4835,20,5262,14311,31678
5,628,SABANALARGA,2011,5,6.853533164,-75.81416599,5628,5628,3478,1538,2155,7171,7208,8191
8,638,SABANALARGA,2012,5,10.63383341,-74.92062512,8638,8638,869,3734,75,4678,58197,98169
85,300,SABANALARGA,2011,5,4.853360442,-73.03917574,85300,85300,218,299,54,571,3051,2987
5,631,SABANETA,2011,5,6.150885453,-75.61529813,5631,5631,284,2136,0,2420,24249,51860
15,632,SABOYÁ,2011,5,5.698187077,-73.76459348,15632,15632,48,27,0,75,14127,12372
85,315,SÁCAMA,2011,5,6.097899116,-72.24889357,85315,85315,764,456,315,1535,997,2001
15,638,SÁCHICA,2011,5,5.583030121,-73.54252586,15638,15638,7,26,0,33,2735,3791
