Origin_ID;Origin_NAME;Origin_N_Displ;Origin_N_Receiv;Origin_LAT;Origin_LNG;Destin_ID;Destin_NAME;Destin_N_Displ;Destin_N_Receiv;Destin_LAT;Destin_LNG;Count
13006;ACHÍ;15231;1107;8.567852;-74.555492;70429;MAJAGUAL;5646;1969;8.541837;-74.628344;290
13006;ACHÍ;15231;1107;8.567852;-74.555492;5154;CAUCASIA;17002;15499;7.97776;-75.198514;289
13006;ACHÍ;15231;1107;8.567852;-74.555492;70771;SUCRE;13336;1740;8.813573;-74.722067;233
13006;ACHÍ;15231;1107;8.567852;-74.555492;13549;PINILLOS;6694;2077;8.914779;-74.461872;227
41013;AGRADO;309;356;2.25883;-75.771703;11001;BOGOTÁ, D.C.;7290;536598;4.650528;-74.105972;109
25001;AGUA DE DIOS;294;291;4.375853;-74.669546;11001;BOGOTÁ, D.C.;7290;536598;4.650528;-74.105972;105
20011;AGUACHICA;12964;16171;8.310121;-73.6013;68001;BUCARAMANGA;5644;70103;7.115901;-73.132537;1616
20011;AGUACHICA;12964;16171;8.310121;-73.6013;11001;BOGOTÁ, D.C.;7290;536598;4.650528;-74.105972;1226
20011;AGUACHICA;12964;16171;8.310121;-73.6013;20001;VALLEDUPAR;32436;83963;10.461893;-73.258517;1113
20011;AGUACHICA;12964;16171;8.310121;-73.6013;54001;CÚCUTA;16922;91560;7.905267;-72.505591;886
20011;AGUACHICA;12964;16171;8.310121;-73.6013;47001;SANTA MARTA;35085;143341;11.225703;-74.188397;559
20011;AGUACHICA;12964;16171;8.310121;-73.6013;68081;BARRANCABERMEJA;28240;49094;7.067976;-73.846686;515
20011;AGUACHICA;12964;16171;8.310121;-73.6013;68276;FLORIDABLANCA;871;21226;7.074187;-73.097661;491
20011;AGUACHICA;12964;16171;8.310121;-73.6013;8001;BARRANQUILLA;5939;117739;10.979459;-74.816835;433
20011;AGUACHICA;12964;16171;8.310121;-73.6013;54498;OCAÑA;7697;25596;8.246666;-73.355196;295
20011;AGUACHICA;12964;16171;8.310121;-73.6013;68307;GIRÓN;2012;19227;7.071761;-73.168255;252
20011;AGUACHICA;12964;16171;8.310121;-73.6013;54245;EL CARMEN;7395;1357;8.510759;-73.446775;239
20011;AGUACHICA;12964;16171;8.310121;-73.6013;8758;SOLEDAD;2405;62128;10.90618;-74.793567;238
20011;AGUACHICA;12964;16171;8.310121;-73.6013;68547;PIEDECUESTA;1103;11996;6.995475;-73.054308;169
20011;AGUACHICA;12964;16171;8.310121;-73.6013;44001;RIOHACHA;12215;39130;11.529125;-72.912271;158
20011;AGUACHICA;12964;16171;8.310121;-73.6013;13001;CARTAGENA DE INDIAS;12945;121634;10.398816;-75.501229;156
